ChemicalID,GeneSymbol
C053876,PTGER1
C053876,PTGER2
C053876,PTGER4
C053876,SRC
C053876,TNFRSF1A
C054923,AHR
C054923,ARNT
C054923,CYP1A1
C054923,ESR1
C054923,MIR335
C054923,SOX4
C054923,TFF1
C121465,FMR1
C121465,GRM5
C121465,PPP2CA
C000604852,CNR1
C521871,CYP1A1
C521871,DNMT1
C534887,ADORA2A
C082206,LTB4R
C121707,ALB
C121707,ESR1
C121707,ESR2
C071693,TACR1
C092006,AGT
C092006,MAS1
C092006,NFKB1
C031349,DRD2
C031349,DRD3
C482678,OPRD1
C482678,OPRK1
C482678,OPRM1
C433814,OPRK1
C412852,ABCC4
C412852,NCOR1
C412852,NR1H4
C412852,SLC51A
C409874,DRD1
C409874,DRD2
C409874,DRD3
C409874,DRD4
C409874,DRD5
C409874,HTR2A
C409874,HTR2C
C080122,EDN1
C080122,EDN3
C080122,EDNRB
C080122,NOS1
C090812,DRD2
C090812,DRD3
C081320,ADORA2A
C107821,HTR2C
C016276,EDN1
C016276,EDN3
C016276,EDNRB
C016276,TH
C016276,TNF
C016276,TNFRSF1A
C016276,TRADD
C067197,ADORA1
C434584,DRD1
C434584,DRD2
C434584,HRH1
C434584,HTR1A
C434584,HTR2A
C434584,HTR2C
D017371,ADRA1A
D017371,HTR1A
D017371,HTR7
D017371,NCF1
D017371,OXT
D017371,POMC
D017371,PRKCD
C028322,ADORA1
C119737,ALPL
C119737,ESR1
C119737,ESR2
C046938,PPARA
C046938,PPARB
C046938,PPARG
C558529,CSF1R
C558529,CSNK1E
C558529,MKNK2
C558529,MTOR
C558529,PIK3C2G
C031390,CYP3A4
C031390,NR1I2
C031390,NR1I3
C031390,RBP2
C031390,RXRA
C037112,ABCA1
C037112,APOA1
C037112,GSTA2
C037112,IL1B
C037112,NR1H3
C037112,PPARG
C037112,PTGDR
C037112,RXRA
C091375,AR
C091375,AR.L
C091375,ESR1
C091375,ESR2
C091375,ESR2A
C091375,ESR2B
C091375,ESR2.L
C091375,NR1I2
C091375,PPARG
C091375,THRA
C091375,THRAA
C091375,THRA.L
C091375,THRB
C436344,ADRA1D
C470346,P2RX2
C470346,P2RX3
C524029,CHRNA7
C065380,DRD1
C065380,DRD5
C061450,DRD1
C079415,DRD1
C540311,CNR2
C540311,HTR2C
C104288,CHRNA4
C104288,CHRNA7
C104288,CHRNB2
C095427,ADORA1
C095427,ADRB1
C095427,ADRB2
C095427,CCKAR
C095427,CCKBR
C095427,DRD1
C095427,DRD2
C095427,DRD3
C095427,DRD4
C095427,DRD5
C095427,EDNRA
C095427,EDNRB
C095427,HTR1A
C095427,HTR2C
C095427,PTAFR
C560402,TRPA1
C106538,ADH1A
C106538,ALB
C106538,HLA-C
C000590451,CCND1
C000590451,CDC37
C000590451,CDK4
C000590451,CDK6
C501332,BAX
C501332,BCL2
C501332,BCL2L1
C501332,BCL2L11
C501332,BCL2L2
C501332,BECN1
D000070,ABCB1
D000070,ADRB2
D000070,MAPK1
D000070,MAPK3
D000082,AGO2
D000082,CCND1
D000082,CDK4
D000082,CTNNB1
D000082,ESR1
D000082,GCLC
D000082,GCLM
D000082,GSTP1
D000082,LDLR
D000082,MDM2
D000082,MIR122
D000082,MIR885
D000082,NFKB1
D000082,NR3C1
D000082,PPP2R5A
D000082,RB1
D000082,RELA
D000082,SELENBP2
D000082,SMAD1
D000082,SMAD5
D000082,SMAD9
D000082,SNCA
D000082,TNF
D000082,TP53
D000085,CXCL8
D000085,IL1B
D000085,IL6
D000085,TLR4
D000085,TNF
D000086,AQP1
D000086,CA1
D000086,CA12
D000086,CA13
D000086,CA14
D000086,CA2
D000086,CA3
D000086,CA4
D000086,CA5A
D000086,CA5B
D000086,CA6
D000086,CA7
D000086,CA9
D000092,ALB
D000092,SFRP4
C006358,ACE
C006358,MMP1
C006358,MMP12
C006358,MMP3
C100162,AR
C100162,DRD2
C056165,EP300
C056165,HTR1A
C056165,IL1B
C056165,MMP9
C056165,NCF1
