GeneSymbol,DiseaseID,InferenceScore
ACE,MESH:D057772,1
ACE,MESH:D015430,1
ACE,MESH:D015431,1
ACE2,MESH:D000022,1
ACE2,MESH:D055371,1
ACE2,MESH:D001008,1
ACE2,MESH:D017544,1
ACE2,MESH:D009202,1
ACE2,MESH:D018352,1
ACE2,MESH:D000086382,1
ACE2,MESH:D003928,1
ACE2,MESH:D003930,1
ACE2,MESH:D004719,1
ACE2,MESH:D005923,1
ACE2,MESH:D006333,1
ACE2,MESH:D006973,1
ACE2,MESH:D006976,1
ACE2,MESH:D007249,1
ACE2,MESH:D055370,1
ACE2,MESH:D011658,1
ACE2,MESH:D012128,1
ACE2,MESH:D045169,1
ACE2,MESH:D015431,1
ACER3,MESH:D008545,1
ACHE,MESH:D000544,1
ACHE,MESH:D019969,1
ACHE,MESH:D000686,1
ACHE,MESH:D000740,1
ACHE,MESH:D001943,1
ACHE,MESH:D002292,1
ACHE,MESH:D015179,1
ACHE,MESH:D064420,1
ACHE,MESH:D006130,1
ACHE,MESH:D007859,1
ACHE,MESH:D008106,1
ACHE,MESH:D008569,1
ACHE,MESH:D009069,1
ACHE,MESH:D009136,1
ACHE,MESH:D009422,1
ACHE,MESH:D009765,1
ACHE,MESH:D062025,1
ACHE,MESH:D011041,1
ACHE,MESH:D049188,1
ACHE,MESH:D011471,1
ACHE,MESH:D012640,1
ACHE,MESH:D014202,1
ACHE,MESH:D001749,1
ACKR1,MESH:D008288,1
ACKR3,MESH:D001172,1
ACKR3,MESH:D002277,1
ACKR3,MESH:D015179,1
ACKR3,MESH:D007674,1
ACKR3,MESH:D008106,1
ACKR3,MESH:D020529,1
ACKR3,MESH:D009362,1
ACKR4,MESH:D000022,1
ACL-7,MESH:D020964,1
ACLY,MESH:D006528,1
ACLY,MESH:D006333,1
ACLY,MESH:D009765,1
ACO1,MESH:D009361,1
ACO1,MESH:D010003,1
ACO2,MESH:D006528,1
ACO2,MESH:D012128,1
ACOT1,MESH:D003921,1
ACOT1,MESH:D006529,1
ACOT1,MESH:D008113,1
ACOT2,MESH:D017202,1
ACOT6,MESH:D012559,1
ACOT9,MESH:D008106,1
ACOX1,MESH:D006528,1
ACOX1,MESH:D003921,1
ACOX2,MESH:D008106,1
ACOX3,MESH:D056486,1
ACOXL,MESH:D015451,1
ACP3,MESH:D001171,1
ACP5,MESH:D006962,1
ACP5,MESH:D008106,1
ACP5,MESH:D009765,1
ACRBP,MESH:D001171,1
ACRBP,MESH:D011471,1
ACSF3,MESH:C537358,1
ACSL1,MESH:D001169,1
ACSL1,MESH:D002277,1
ACSL1,MESH:D056486,1
ACSL1,MESH:D003921,1
ACSL1,MESH:D008106,1
ACSL1,MESH:D015674,1
ACSL1,MESH:D008325,1
ACSL1,MESH:D009765,1
ACSL4,MESH:D000077192,1
ACSL4,MESH:D001169,1
ACSL4,MESH:D006528,1
ACSL4,MESH:D003866,1
ACSL4,MESH:D004195,1
ACSL4,MESH:D004890,1
ACSL4,MESH:D011471,1
ACSL5,MESH:D001169,1
ACSL6,MESH:D019969,1
ACSM1,MESH:D008175,1
ACSM3,MESH:D011471,1
ACTA1,MESH:D017379,1
ACTA2,MESH:D001943,1
ACTA2,MESH:D001651,1
ACTA2,MESH:D003110,1
ACTA2,MESH:D004715,1
ACTA2,MESH:D005317,1
ACTA2,MESH:D005355,1
ACTA2,MESH:D005923,1
ACTA2,MESH:D006521,1
ACTA2,MESH:D007511,1
ACTA2,MESH:D007674,1
ACTA2,MESH:D008103,1
ACTA2,MESH:D008106,1
ACTA2,MESH:D008107,1
ACTA2,MESH:D009203,1
ACTA2,MESH:D009400,1
ACTA2,MESH:D011658,1
ACTA2,MESH:D012595,1
ACTA2,MESH:D014517,1
ACTB,MESH:D002277,1
ACTB,MESH:D006528,1
ACTB,MESH:D056486,1
ACTB,MESH:D003103,1
ACTB,MESH:D019465,1
ACTB,MESH:D004421,1
ACTB,MESH:D004938,1
ACTB,MESH:D006319,1
ACTB,MESH:D000860,1
ACTB,MESH:D008175,1
ACTB,MESH:D015674,1
ACTB,MESH:D008325,1
ACTB,MESH:D017202,1
ACTB,MESH:D009361,1
ACTB,MESH:D009421,1
ACTB,MESH:D010003,1
ACTC1,MESH:D002311,1
ACTC1,MESH:D011230,1
ACTC1,MESH:D013274,1
ACTG1,MESH:D054058,1
ACTG1,MESH:D002277,1
ACTG1,MESH:D002471,1
ACTG1,MESH:D003103,1
ACTG1,MESH:D019465,1
ACTG1,MESH:D015674,1
ACTG1,MESH:D008325,1
ACTG1,MESH:D009421,1
ACTG1,MESH:D010024,1
ACTG2,MESH:D003110,1
ACTL6B,MESH:D000690,1
ACTL9,MESH:D003876,1
ACTN1,MESH:D008106,1
ACTN4,MESH:D002277,1
ACTN4,MESH:D056486,1
ACTN4,MESH:D005923,1
ACTN4,MESH:D015674,1
ACTN4,MESH:D008325,1
ACTR3,MESH:D056486,1
ACTRT2,MESH:D007627,1
ACVR1,MESH:D055371,1
ACVR1,MESH:D001254,1
ACVR1,MESH:D001943,1
ACVR1,MESH:D005910,1
ACVRL1,MESH:D006976,1
ACVRL1,MESH:D066253,1
ACY1,MESH:D002292,1
ACY1,MESH:D011230,1
ADA,MESH:D001321,1
ADA,MESH:D006940,1
ADA,MESH:D008106,1
ADA,MESH:D008175,1
ADA,MESH:D013118,1
ADAM10,MESH:D000544,1
ADAM10,MESH:D001943,1
ADAM10,MESH:D005355,1
ADAM10,MESH:D005922,1
ADAM10,MESH:D011297,1
ADAM10,MESH:D051437,1
ADAM17,MESH:D001768,1
ADAM17,MESH:D003092,1
ADAM17,MESH:D008106,1
ADAM26A,MESH:D011471,1
ADAM28,MESH:D008175,1
ADAM28,MESH:D011471,1
ADAM33,MESH:D001943,1
ADAM33,MESH:D016535,1
ADAM3A,MESH:D006529,1
ADAM8,MESH:D056486,1
ADAM9,MESH:D011471,1
ADAMTS1,MESH:D000544,1
ADAMTS1,MESH:D001943,1
ADAMTS1,MESH:D006528,1
ADAMTS1,MESH:D002289,1
ADAMTS1,MESH:D009361,1
ADAMTS13,MESH:D006528,1
ADAMTS13,MESH:D016553,1
ADAMTS13,MESH:D011697,1
ADAMTS13,MESH:D057049,1
ADAMTS17,MESH:D008113,1
ADAMTS19,MESH:D006349,1
ADAMTS2,MESH:D000086002,1
ADAMTS20,MESH:D008545,1
ADAMTS3,MESH:D012559,1
ADAMTS5,MESH:D006529,1
ADAMTS7,MESH:D003324,1
ADAMTS7,MESH:D011085,1
ADAMTS8,MESH:D011471,1
ADAMTS9,MESH:D003924,1
ADAMTSL2,MESH:D006130,1
ADAMTSL2,MESH:D006349,1
ADAMTSL2,MESH:D006529,1
ADAMTSL2,MESH:D008661,1
ADAMTSL2,MESH:D010009,1
ADAR,MESH:D001943,1
ADARB1,MESH:D011085,1
ADARB2,MESH:D010300,1
ADARB2,MESH:D019966,1
ADCY1,MESH:D006948,1
ADCY1,MESH:D055752,1
ADCY1,MESH:D013375,1
ADCY2,MESH:D001249,1
ADCY2,MESH:D001714,1
ADCY3,MESH:D003925,1
ADCY3,MESH:D009765,1
ADCY5,MESH:D001724,1
ADCY5,MESH:D002277,1
ADCY5,MESH:D009202,1
ADCY5,MESH:D003924,1
ADCY5,MESH:D005355,1
ADCY5,MESH:D006973,1
ADCY5,MESH:D015674,1
ADCY5,MESH:D008325,1
ADCY5,MESH:D065886,1
ADCY5,MESH:D010024,1
ADCY5,MESH:D018487,1
ADCY7,MESH:D001171,1
ADCY7,MESH:D003093,1
ADCY7,MESH:D015470,1
ADCY7,MESH:D012559,1
ADCY8,MESH:D003925,1
ADCY8,MESH:D006948,1
ADCY8,MESH:D019964,1
ADCY8,MESH:D013375,1
ADCYAP1,MESH:D009202,1
ADCYAP1,MESH:D000077277,1
ADCYAP1,MESH:D006940,1
ADCYAP1,MESH:D015877,1
ADCYAP1,MESH:D020258,1
