ID,count1
963,1
964,4
965,1
966,1
967,1
968,1
969,6
970,1
971,2
972,1
973,1
974,11
975,2
976,9
977,1
978,3
979,1
980,1
981,61
982,1
983,3
984,1
985,1
986,1
987,17
988,5
989,33
990,1
991,1
992,1
993,1
994,1
995,1
996,2
997,1
998,1
999,3
1000,7
1001,4
1002,17
1003,9
1004,18
1005,4
1006,1
1007,1
1008,2
1009,1
1010,1
1011,37
1012,3
1013,1
1014,2
1015,1
1016,3
1017,6
1018,3
1019,1
1020,1
1021,1
1022,1
1023,5
1024,1
1025,1
1026,2
1027,3
1028,2
1029,38
1030,36
1031,22
1032,2
1033,3
1034,2
1035,2
1036,1
1037,10
1038,9
1039,6
1040,8
1041,11
1042,35
1043,2
1044,1
1045,2
1046,41
1047,1
1048,1
1049,13
1050,3
1051,45
1052,1
1053,1
1054,2
1055,2
1056,37
1057,2
1058,1
1059,1
1060,4
1061,1
1062,1
1063,3
1064,3
1065,1
1066,1
1067,24
1068,21
1069,2
1070,19
1071,4
1072,42
1073,6
1074,31
1075,1
1076,13
1077,6
1078,1
1079,3
1080,1
1081,5
1082,2
1083,8
1084,4
1085,1
1086,8
1087,3
1088,5
1089,1
1090,15
1091,1
1092,3
1093,2
1094,1
1095,10
1096,12
1097,1
1098,1
1099,43
1100,5
1101,1
1102,3
1103,1
1104,1
1105,2
1106,4
1107,2
1108,9
1109,6
1110,2
1111,2
1112,6
1113,3
1114,2
1115,1
1116,4
1117,11
1118,1
1119,10
1120,1
1121,1
1122,13
1123,7
1124,2
1125,4
1126,7
1127,2
1128,6
1129,1
1130,1
1131,3
1132,10
1133,1
1134,6
1135,1
1136,4
1137,1
1138,2
1139,1
1140,1
1141,1
1142,1
1143,28
1144,8
1145,5
1146,1
1147,26
1148,5
1149,1
1150,4
1151,8
1152,1
1153,4
1154,1
1155,1
1156,1
1157,1
1158,6
1159,4
1160,2
1161,2
1162,1
1163,2
1164,2
1165,5
1166,11
1167,2
1168,1
1169,1
1170,1
1171,29
1172,2
1173,6
1174,2
1175,3
1176,1
1177,2
1178,2
1179,10
1180,3
1181,7
1182,76
1183,1
1184,2
1185,1
1186,3
1187,4
1188,1
1189,4
1190,1
1191,1
1192,2
1193,13
1194,1
1195,1
1196,2
1197,1
1198,4
1199,1
1200,1
1201,1
1202,106
1203,2
1204,1
1205,2
1206,5
1207,3
1208,7
1209,1
1210,2
1211,7
1212,1
1213,1
1214,146
1215,6
1216,1
1217,8
1218,13
1219,15
1220,2
1221,1
1222,10
1223,1
1224,1
1225,2
1226,1
1227,2
1228,36
1229,1
1230,2
1231,5
1232,1
1233,4
1234,51
1235,2
1236,7
1237,1
1238,4
1239,6
1240,3
1241,13
1242,1
1243,67
1244,1
1245,4
1246,2
1247,2
1248,1
1249,8
1250,1
1251,1
1252,4
1253,1
1254,1
1255,1
1256,1
1257,15
1258,2
1259,1
1260,1
1261,2
1262,1
1263,3
1264,62
1265,1
1266,3
1267,11
1268,6
1269,2
1270,4
1271,2
1272,1
1273,4
1274,1
1275,1
1276,28
1277,4
1278,1
1279,3
1280,4
1281,12
1282,4
1283,1
1284,2
1285,58
1286,1
1287,1
1288,2
1289,2
1290,14
1291,1
1292,14
1293,1
1294,1
1295,3
1296,2
1297,1
1298,5
1299,10
1300,2
1301,1
1302,1
1303,1
1304,2
1305,2
1306,2
1307,1
1308,1
1309,1
1310,1
1311,1
1312,2
1313,1
1314,1
1315,24
1316,2
1317,13
1318,1
1319,1
1320,1
1321,1
1322,2
1323,1
1324,2
1325,1
1326,3
1327,38
1328,1
1329,5
1330,1
1331,6
1332,1
1333,3
1334,2
1335,5
1336,1
1337,2
1338,6
1339,10
1340,15
1341,3
1342,13
1343,4
1344,1
1345,1
1346,2
1347,6
1348,2
1349,1
1350,4
1351,4
1352,1
1353,2
1354,27
1355,2
1356,2
1357,1
1358,2
1359,1
1360,1
1361,3
1362,2
1363,2
1364,7
1365,1
1366,34
1367,1
1368,1
1369,1
1370,1
1371,2
1372,3
1373,1
1374,1
1375,1
1376,1
1377,9
1378,9
1379,2
1380,8
1381,1
1382,33
1383,2
1384,1
1385,5
1386,1
1387,1
1388,4
1389,21
1390,2
1391,1
1392,2
1393,3
1394,1
1395,1
1396,6
1397,3
1398,1
1399,20
1400,10
1401,3
1402,2
1403,1
1404,23
1405,3
1406,1
1407,2
1408,1
1409,3
1410,2
1411,3
1412,5
1413,8
1414,3
1415,9
1416,8
1417,3
1418,5
1419,10
1420,2
1421,7
1422,50
1423,2
1424,1
1425,3
1426,3
1427,8
1428,1
1429,5
1430,1
1431,1
1432,2
1433,1
1434,1
1435,6
1436,1
1437,3
1438,1
1439,4
1440,2
1441,1
1442,1
1443,3
1444,5
1445,27
1446,3
1447,2
1448,2
1449,1
1450,1
1451,1
1452,4
1453,1
1454,8
1455,3
1456,1
1457,3
1458,6
1459,17
1460,8
1461,2
1462,1
1463,12
1464,1
1465,20
1466,1
1467,6
1468,1
1469,1
1470,1
1471,1
1472,2
1473,1
1474,1
1475,1
1476,1
1477,1
1478,1
1479,1
1480,2
1481,1
1482,3
1483,1
1484,11
1485,1
1486,1
1487,8
1488,4
1489,42
1490,19
1491,1
1492,5
1493,1
1494,2
1495,2
1496,3
1497,2
1498,2
1499,3
1500,2
1501,2
1502,3
1503,6
1504,2
1505,8
1506,2
1507,1
1508,6
1509,2
1510,1
1511,7
1512,2
1513,3
1514,2
1515,59
1516,5
1517,1
1518,3
1519,1
1520,1
1521,1
1522,9
1523,1
1524,3
1525,1
1526,1
1527,2
1528,2
1529,1
1530,20
1531,1
1532,3
1533,1
1534,4
1535,1
1536,1
1537,2
1538,10
1539,4
1540,19
