ID,count2
19513,2
19514,4
19515,1
19516,4
19517,2
19518,3
19519,2
19520,2
19521,1
19522,2
19523,1
19524,7
19525,1
19526,1
19527,3
19528,8
19529,6
19530,1
19531,7
19532,19
19533,4
19534,6
19535,7
19536,22
19537,30
19538,23
19539,2
19540,2
19541,3
19542,5
19543,1
19544,10
19545,23
19546,1
19547,5
19548,28
19549,17
19550,74
19551,71
19552,23
19553,43
19554,9
19555,39
19556,2
19557,1
19558,1
19559,7
19560,7
19561,2
19562,2
19563,13
19564,19
19565,8
19566,20
19567,12
19568,1
19569,1
19570,8
19571,5
19572,3
19573,31
19574,1
19575,2
19576,33
19577,3
19578,1
19579,18
19580,36
19581,7
19582,47
19583,6
19584,1
19585,1
19586,6
19587,6
19588,29
19589,14
19590,12
19591,109
19592,126
19593,159
19594,13
19595,2
19596,1
19597,1
19598,4
19599,8
19600,10
19601,4
19602,3
19603,7
19604,1
19605,2
19606,1
19607,1
19608,8
19609,5
19610,25
19611,1
19612,2
19613,4
19614,28
19615,6
19616,1
19617,108
19618,17
19619,7
19620,3
19621,1
19622,1
19623,1
19624,1
19625,1
19626,1
19627,20
19628,1
19629,9
19630,21
19631,5
19632,44
19633,4
19634,3
19635,9
19636,2
19637,2
19638,38
19639,11
19640,118
19641,82
19642,3
19643,4
19644,2
19645,14
19646,6
19647,1
19648,21
19649,4
19650,1
19651,2
19652,7
19653,6
19654,5
19655,3
19656,5
19657,2
19658,57
19659,2
19660,5
19661,7
19662,22
19663,1
19664,2
19665,2
19666,3
19667,3
19668,3
19669,5
19670,330
19671,2
19672,23
19673,2
19674,84
19675,18
19676,5
19677,48
19678,4
19679,194
19680,6
19681,51
19682,12
19683,232
19684,80
19685,6
19686,16
19687,2
19688,4
19689,2
19690,2
19691,1
19692,4
19693,8
19694,4
19695,78
19696,15
19697,27
19698,11
19699,3
19700,11
19701,439
19702,22
19703,16
19704,70
19705,31
19706,9
19707,15
19708,37
19709,3
19710,2
19711,1
19712,9
19713,4
19714,2
19715,14
19716,8
19717,1
19718,23
19719,3
19720,12
19721,6
19722,2
19723,10
19724,2
19725,1
19726,188
19727,28
19728,2
19729,53
19730,12
19731,1
19732,2
19733,4
19734,6
19735,1
19736,3
19737,1
19738,8
19739,2
19740,52
19741,23
19742,8
19743,1
19744,6
19745,12
19746,6
19747,20
19748,3
19749,12
19750,15
19751,365
19752,23
19753,6
19754,45
19755,143
19756,1
19757,5
19758,5
19759,29
19760,8
19761,16
19762,9
19763,17
19764,55
19765,1
19766,11
19767,1
19768,1
19769,4
19770,1
19771,8
19772,2
19773,6
19774,1
19775,1
19776,2
19777,2
19778,1
19779,7
19780,4
19781,265
19782,24
19783,16
19784,2
19785,29
19786,8
19787,4
19788,17
19789,1
19790,1
19791,2
19792,19
19793,1
19794,1
19795,1
19796,2
19797,4
19798,1
19799,4
19800,1
19801,3
19802,4
19803,1
19804,1
19805,9
19806,96
19807,1
19808,15
19809,10
19810,25
19811,6
19812,21
19813,1
19814,2
19815,7
19816,85
19817,7
19818,2
19819,4
19820,2
19821,31
19822,7
19823,22
19824,9
19825,3
19826,3
19827,8
19828,3
19829,2
19830,18
19831,2
19832,1
19833,4
19834,1
19835,6
19836,1
19837,5
19838,7
19839,113
19840,5
19841,14
19842,107
19843,61
19844,11
19845,3
19846,102
19847,66
19848,2
19849,34
19850,34
19851,6
19852,16
19853,1
19854,135
19855,8
19856,6
19857,32
19858,15
19859,2
19860,1
19861,1
19862,12
19863,6
19864,1
19865,49
19866,10
19867,52
19868,5
19869,6
19870,7
19871,4
19872,4
19873,4
19874,3
19875,1
19876,44
19877,3
19878,1
19879,87
19880,3
19881,3
19882,1
19883,2
19884,4
19885,2
19886,24
19887,5
19888,136
19889,30
19890,4
19891,2
19892,178
19893,12
19894,4
19895,2
19896,22
19897,5
19898,13
19899,3
19900,4
19901,11
19902,1
19903,3
19904,7
19905,1
19906,9
19907,5
19908,2
19909,13
19910,34
19911,4
19912,4
19913,2
19914,7
19915,4
19916,2
19917,1
19918,1
19919,1
19920,71
19921,7
19922,7
19923,1
19924,3
19925,2
19926,1
19927,1
19928,15
19929,4
19930,1
19931,22
19932,111
19933,2
19934,6
19935,6
19936,3
19937,2
19938,88
19939,2
19940,27
19941,21
19942,5
19943,3
19944,70
19945,9
19946,12
19947,6
19948,50
19949,1
19950,2
19951,2
19952,4
19953,2
19954,19
19955,13
19956,4
19957,6
19958,25
19959,9
19960,2
19961,22
19962,5
19963,123
19964,170
19965,20
19966,60
19967,2
19968,1
19969,2
19970,4
19971,4
19972,2
19973,3
19974,2
19975,2
19976,1
19977,1
19978,10
19979,20
19980,3
19981,7
19982,41
19983,266
19984,1
19985,12
19986,4
19987,165
19988,175
19989,10
19990,227
19991,11
19992,199
19993,1
19994,18
19995,1
19996,1
19997,5
19998,2
19999,40
20000,20
20001,21
20002,12
20003,4
20004,11
20005,14
20006,9
20007,34
20008,3
20009,175
20010,2
